iter	Passed	Remaining
547	3249	2680
548	3253	2672
549	3257	2665
550	3263	2659
551	3267	2652
552	3271	2644
553	3275	2637
554	3281	2631
555	3285	2623
556	3289	2616
557	3293	2608
558	3298	2602
559	3302	2595
560	3307	2588
561	3313	2582
562	3317	2575
563	3321	2568
564	3332	2565
565	3337	2558
566	3341	2551
567	3349	2547
568	3354	2541
569	3363	2537
570	3367	2530
571	3373	2523
572	3382	2520
573	3386	2513
574	3396	2510
575	3402	2504
576	3409	2499
577	3413	2492
578	3418	2485
579	3429	2483
580	3433	2476
581	3437	2469
582	3445	2464
583	3451	2458
584	3466	2459
585	3472	2453
586	3476	2446
587	3480	2438
588	3484	2431
589	3490	2425
590	3494	2418
591	3498	2410
592	3504	2405
593	3508	2398
594	3512	2390
595	3517	2384
596	3522	2377
597	3526	2370
598	3530	2363
599	3535	2357
600	3539	2349
601	3543	2342
602	3547	2335
603	3552	2329
604	3556	2322
605	3560	2315
606	3566	2308
607	3570	2301
608	3574	2294
609	3578	2287
610	3592	2287
611	3605	2285
612	3616	2283
613	3623	2278
614	3634	2275
615	3639	2268
616	3647	2263
617	3652	2257
618	3657	2251
619	3666	2247
620	3674	2242
621	3687	2241
622	3699	2238
623	3705	2232
624	3709	2225
625	3718	2221
626	3726	2216
627	3734	2212
628	3745	2209
629	3750	2202
630	3757	2197
631	3763	2191
632	3768	2185
633	3777	2180
634	3781	2173
635	3785	2166
636	3793	2161
637	3797	2154
638	3801	2147
639	3807	2141
640	3812	2134
641	3816	2127
642	3821	2121
643	3825	2114
644	3829	2107
645	3833	2100
646	3839	2095
647	3847	2089
648	3861	2088
649	3866	2081
650	3888	2084
651	3903	2083
652	3910	2078
653	3915	2071
654	3924	2066
655	3929	2060
656	3936	2055
657	3941	2048
658	3945	2041
659	3951	2035
660	3955	2028
661	3959	2021
662	3963	2014
663	3969	2008
664	3973	2001
665	3977	1994
666	3982	1988
667	3986	1981
668	3991	1974
669	3995	1967
670	4001	1961
671	4005	1955
672	4011	1949
